MJD,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
55705.89042,1.4,0.614,0.077,n,WSRT,Wiersema et al.2012
55706.23,15.4,15,1.18,n,AMI-LA,Berger et al.2012
55708.04,15.4,19.23,0.62,n,AMI-LA,Berger et al.2012
55708.95,15.4,16.47,0.21,n,AMI-LA,Berger et al.2012
55711.01,15.4,18.77,0.37,n,AMI-LA,Berger et al.2012
55713.11,4.9,5.86,0.03,n,EVLA,Berger et al.2012
55713.11,6.7,8.94,0.03,n,EVLA,Berger et al.2012
55713.11,19.1,23.03,0.06,n,EVLA,Berger et al.2012
55713.11,24.4,25.62,0.06,n,EVLA,Berger et al.2012
55714.1,15.4,19.06,0.48,n,AMI-LA,Berger et al.2012
55716.19,15.4,20.34,0.38,n,AMI-LA,Berger et al.2012
55716.88,15.4,19.36,0.56,n,AMI-LA,Berger et al.2012
55718.98,15.4,21.27,0.34,n,AMI-LA,Berger et al.2012
55719.98,15.4,21.84,0.59,n,AMI-LA,Berger et al.2012
55722.15,15.4,21.4,0.51,n,AMI-LA,Berger et al.2012
55722.97,15.4,23.08,0.26,n,AMI-LA,Berger et al.2012
55723.99,15.4,23.26,0.65,n,AMI-LA,Berger et al.2012
55724.99,15.4,23.22,0.24,n,AMI-LA,Berger et al.2012
55725.97,15.4,22.94,0.5,n,AMI-LA,Berger et al.2012
55726.98,15.4,21.74,0.45,n,AMI-LA,Berger et al.2012
55728.92,15.4,23.99,0.5,n,AMI-LA,Berger et al.2012
55732.15,15.4,22.94,0.33,n,AMI-LA,Berger et al.2012
55733.87,15.4,24.69,0.26,n,AMI-LA,Berger et al.2012
55735.14,15.4,25.9,0.5,n,AMI-LA,Berger et al.2012
55737.08,15.4,26.07,1.04,n,AMI-LA,Berger et al.2012
55738.08,15.4,25.4,0.55,n,AMI-LA,Berger et al.2012
55740.14,4.9,9.06,0.03,n,EVLA,Berger et al.2012
55740.14,6.7,13.43,0.03,n,EVLA,Berger et al.2012
55740.14,19.1,31.36,0.07,n,EVLA,Berger et al.2012
55740.14,24.4,30.67,0.07,n,EVLA,Berger et al.2012
55740.89,15.4,25.34,0.72,n,AMI-LA,Berger et al.2012
55743.92,15.4,26.15,0.25,n,AMI-LA,Berger et al.2012
55745.25,87,18.79,0.65,n,CARMA,Berger et al.2012
55746.11,15.4,27.83,0.57,n,AMI-LA,Berger et al.2012
55747.1,15.4,25.96,0.91,n,AMI-LA,Berger et al.2012
55748.1,15.4,26.6,0.26,n,AMI-LA,Berger et al.2012
55751.09,15.4,26.68,0.21,n,AMI-LA,Berger et al.2012
55752.88,15.4,27.89,0.33,n,AMI-LA,Berger et al.2012
55753.82,15.4,26.84,0.4,n,AMI-LA,Berger et al.2012
55755.84,15.4,28.24,0.22,n,AMI-LA,Berger et al.2012
55757.12,4.9,9.1,0.03,n,EVLA,Berger et al.2012
55757.12,6.7,13.66,0.03,n,EVLA,Berger et al.2012
55757.12,19.1,30.21,0.1,n,EVLA,Berger et al.2012
55757.12,24.4,28.2,0.13,n,EVLA,Berger et al.2012
55757.12,43.6,22.09,0.65,n,EVLA,Berger et al.2012
55758,15.4,27.1,0.58,n,AMI-LA,Berger et al.2012
55759,15.4,28.82,0.31,n,AMI-LA,Berger et al.2012
55760.99,15.4,28.39,0.23,n,AMI-LA,Berger et al.2012
55763.81,15.4,28.58,0.47,n,AMI-LA,Berger et al.2012
55764.98,15.4,26.9,0.8,n,AMI-LA,Berger et al.2012
