MJD,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
59635.7,15.5,0.45,0.03,n,AMI-LA,Rhode et al.2023
59640.7,15.5,0.48,0.07,n,AMI-LA,Rhode et al.2023
59644.7,15.5,0.45,0.05,n,AMI-LA,Rhode et al.2023
59645.6,15.5,0.58,0.05,n,AMI-LA,Rhode et al.2023
59646.6,15.5,0.53,0.04,n,AMI-LA,Rhode et al.2023
59647.7,15.5,0.62,0.05,n,AMI-LA,Rhode et al.2023
59648.7,15.5,0.6,0.03,n,AMI-LA,Rhode et al.2023
59649.6,15.5,0.7,0.1,n,AMI-LA,Rhode et al.2023
59650.6,15.5,0.67,0.04,n,AMI-LA,Rhode et al.2023
59651.6,15.5,0.72,0.06,n,AMI-LA,Rhode et al.2023
59652.6,15.5,0.81,0.07,n,AMI-LA,Rhode et al.2023
59653.7,15.5,0.83,0.05,n,AMI-LA,Rhode et al.2023
59654.6,15.5,0.7,0.09,n,AMI-LA,Rhode et al.2023
59656.7,15.5,0.71,0.07,n,AMI-LA,Rhode et al.2023
59657.5,15.5,0.64,0.04,n,AMI-LA,Rhode et al.2023
59659.6,15.5,0.83,0.06,n,AMI-LA,Rhode et al.2023
59660.6,15.5,0.67,0.06,n,AMI-LA,Rhode et al.2023
59662.6,15.5,0.8,0.04,n,AMI-LA,Rhode et al.2023
59663.5,15.5,0.66,0.04,n,AMI-LA,Rhode et al.2023
59665.6,15.5,0.84,0.04,n,AMI-LA,Rhode et al.2023
59666.5,15.5,0.76,0.05,n,AMI-LA,Rhode et al.2023
59667.7,15.5,0.62,0.08,n,AMI-LA,Rhode et al.2023
59668.7,15.5,0.67,0.05,n,AMI-LA,Rhode et al.2023
59670.5,15.5,0.76,0.04,n,AMI-LA,Rhode et al.2023
59671.7,15.5,0.89,0.04,n,AMI-LA,Rhode et al.2023
59678.6,15.5,0.82,0.04,n,AMI-LA,Rhode et al.2023
59679.6,15.5,0.91,0.03,n,AMI-LA,Rhode et al.2023
59681.6,15.5,0.78,0.07,n,AMI-LA,Rhode et al.2023
59682.5,15.5,1,0.1,n,AMI-LA,Rhode et al.2023
59683.5,15.5,0.86,0.05,n,AMI-LA,Rhode et al.2023
59684.6,15.5,0.8,0.1,n,AMI-LA,Rhode et al.2023
59686.5,15.5,0.87,0.06,n,AMI-LA,Rhode et al.2023
59687.6,15.5,0.79,0.09,n,AMI-LA,Rhode et al.2023
59688.6,15.5,0.91,0.04,n,AMI-LA,Rhode et al.2023
59689.6,15.5,0.7,0.05,n,AMI-LA,Rhode et al.2023
59690.5,15.5,0.92,0.04,n,AMI-LA,Rhode et al.2023
59692.5,15.5,0.87,0.04,n,AMI-LA,Rhode et al.2023
59693.4,15.5,0.79,0.04,n,AMI-LA,Rhode et al.2023
59695.6,15.5,0.85,0.04,n,AMI-LA,Rhode et al.2023
59697.6,15.5,0.92,0.04,n,AMI-LA,Rhode et al.2023
59703.5,15.5,0.86,0.06,n,AMI-LA,Rhode et al.2023
59704.6,15.5,0.82,0.05,n,AMI-LA,Rhode et al.2023
59706.4,15.5,0.96,0.05,n,AMI-LA,Rhode et al.2023
59708.5,15.5,1.05,0.04,n,AMI-LA,Rhode et al.2023
59709.4,15.5,1,0.04,n,AMI-LA,Rhode et al.2023
59710.4,15.5,0.88,0.05,n,AMI-LA,Rhode et al.2023
59711.4,15.5,0.94,0.04,n,AMI-LA,Rhode et al.2023
59712.4,15.5,0.95,0.04,n,AMI-LA,Rhode et al.2023
